
2025/10/24 (14:59:16) | ===> btop++ v.1.3.0
2025/10/24 (14:59:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/24 (14:59:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/10/25 (06:30:43) | ===> btop++ v.1.3.0
2025/10/25 (06:30:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/25 (06:30:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/10/25 (08:28:25) | ===> btop++ v.1.3.0
2025/10/25 (08:28:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/25 (08:28:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/10/25 (08:51:11) | ===> btop++ v.1.3.0
2025/10/25 (08:51:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/25 (08:51:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/10/26 (06:08:49) | ===> btop++ v.1.3.0
2025/10/26 (06:08:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/26 (06:08:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/10/27 (08:18:18) | ===> btop++ v.1.3.0
2025/10/27 (08:18:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/27 (08:18:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/10/27 (15:10:45) | ===> btop++ v.1.3.0
2025/10/27 (15:10:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/27 (15:10:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/10/27 (15:18:53) | ===> btop++ v.1.3.0
2025/10/27 (15:18:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/10/27 (15:18:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
